Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
828,356533.5,364891.5,-8358,-2.290543901
829,334641,364891.5,-30250.5,-8.290272588
830,335541,364891.5,-29350.5,-8.043623927
831,334143,364891.5,-30748.5,-8.426751514
832,330954,364891.5,-33937.5,-9.300709937
833,326487,364891.5,-38404.5,-10.52490946
834,340960.5,364891.5,-23931,-6.558387904
835,340057.5,364891.5,-24834,-6.805858728
836,341727,364891.5,-23164.5,-6.348325461
837,339447,364891.5,-25444.5,-6.973168736
838,333973.5,364891.5,-30918,-8.473203678
839,336100.5,364891.5,-28791,-7.890290675
840,331408.5,364891.5,-33483,-9.176152363
841,329365.5,364891.5,-35526,-9.736044824
842,326059.5,364891.5,-38832,-10.64206757
843,323164.5,364891.5,-41727,-11.4354541
844,326002.5,364891.5,-38889,-10.65768866
845,320664,364891.5,-44227.5,-12.1207263
846,316776,364891.5,-48115.5,-13.18624851
847,318208.5,364891.5,-46683,-12.79366606
848,313165.5,364891.5,-51726,-14.17572073
849,311025,364891.5,-53866.5,-14.76233346
850,308112,364891.5,-56779.5,-15.56065296
851,304999.5,364891.5,-59892,-16.41364625
852,319321.5,364891.5,-45570,-12.48864388
853,319597.5,364891.5,-45294,-12.41300496
854,319530,364891.5,-45361.5,-12.43150361
855,318709.5,364891.5,-46182,-12.65636497
856,316273.5,364891.5,-48618,-13.32396068
857,315754.5,364891.5,-49137,-13.46619475
858,314592,364891.5,-50299.5,-13.7847826
859,311959.5,364891.5,-52932,-14.50622993
860,313990.5,364891.5,-50901,-13.94962612
861,338164.5,364891.5,-26727,-7.324643079
862,337710,364891.5,-27181.5,-7.449200653
863,337855.5,364891.5,-27036,-7.409325786
864,347086.5,364891.5,-17805,-4.879532683
865,344745,364891.5,-20146.5,-5.521230284
866,339756,364891.5,-25135.5,-6.888486029
867,340213.5,364891.5,-24678,-6.763106293
868,337731,364891.5,-27160.5,-7.443445517
869,340675.5,364891.5,-24216,-6.636493314
870,335626.5,364891.5,-29265,-8.020192304
871,319471.5,364891.5,-45420,-12.44753577
872,322647,364891.5,-42244.5,-11.57727708
873,316162.5,364891.5,-48729,-13.35438069
874,312895.5,364891.5,-51996,-14.24971533
875,312702,364891.5,-52189.5,-14.30274479
876,310932,364891.5,-53959.5,-14.78782049
877,309136.5,364891.5,-55755,-15.27988457
878,307764,364891.5,-57127.5,-15.65602378
879,310135.5,364891.5,-54756,-15.00610455
880,307636.5,364891.5,-57255,-15.69096567
881,309354,364891.5,-55537.5,-15.22027781
882,308499,364891.5,-56392.5,-15.45459404
883,306738,364891.5,-58153.5,-15.93720325
884,314428.5,364891.5,-50463,-13.82959044
885,312973.5,364891.5,-51918,-14.22833911
886,310896,364891.5,-53995.5,-14.79768644
887,311092.5,364891.5,-53799,-14.74383481
888,308608.5,364891.5,-56283,-15.42458512
889,305713.5,364891.5,-59178,-16.21797164
890,306376.5,364891.5,-58515,-16.0362738
891,305049,364891.5,-59842.5,-16.40008057
892,313117.5,364891.5,-51774,-14.18887532
893,310438.5,364891.5,-54453,-14.92306617
894,326650.5,364891.5,-38241,-10.48010162
895,325176,364891.5,-39715.5,-10.88419434
896,343648.5,364891.5,-21243,-5.821730569
897,339448.5,364891.5,-25443,-6.972757655
898,334947,364891.5,-29944.5,-8.206412043
899,333225,364891.5,-31666.5,-8.678333148
900,338223,364891.5,-26668.5,-7.308610916
901,344314.5,364891.5,-20577,-5.63921056
902,346878,364891.5,-18013.5,-4.936672956
903,342480,364891.5,-22411.5,-6.141962748
904,332917.5,364891.5,-31974,-8.762604774
905,387141,387141,0,0
906,396160.5,396160.5,0,0
907,391644,396160.5,-4516.5,-1.14006823
908,392673,396160.5,-3487.5,-0.88032502
909,402360,402360,0,0
910,402519,402519,0,0
911,402094.5,402519,-424.5,-0.10546086
912,397360.5,402519,-5158.5,-1.281554411
913,396943.5,402519,-5575.5,-1.385152005
914,398593.5,402519,-3925.5,-0.975233467
915,396405,402519,-6114,-1.51893451
916,389320.5,402519,-13198.5,-3.278975651
917,399255,402519,-3264,-0.810893399
918,398362.5,402519,-4156.5,-1.032622063
919,398971.5,402519,-3547.5,-0.881324857
920,394726.5,402519,-7792.5,-1.935933459
921,390153,402519,-12366,-3.072153116
922,408586.5,408586.5,0,0
923,423577.5,423577.5,0,0
924,423094.5,423577.5,-483,-0.11402872
925,429064.5,429064.5,0,0
926,428680.5,429064.5,-384,-0.089497034
927,445380,445380,0,0
928,439240.5,445380,-6139.5,-1.378485787
929,434110.5,445380,-11269.5,-2.530311195
930,436069.5,445380,-9310.5,-2.090462077
931,431352,445380,-14028,-3.149669945
932,440665.5,445380,-4714.5,-1.058534285
933,444943.5,445380,-436.5,-0.098006197
934,450463.5,450463.5,0,0
935,463509,463509,0,0
936,462223.5,463509,-1285.5,-0.277340893
937,464986.5,464986.5,0,0
938,461335.5,464986.5,-3651,-0.785184086
939,472983,472983,0,0
940,489363,489363,0,0
941,484515,489363,-4848,-0.990675633
942,479100,489363,-10263,-2.097216177
943,479115,489363,-10248,-2.094150968
944,485776.5,489363,-3586.5,-0.732891535
945,487599,489363,-1764,-0.360468609
946,507451.5,507451.5,0,0
947,506967,507451.5,-484.5,-0.095477105
948,503386.5,507451.5,-4065,-0.801061776
949,498679.5,507451.5,-8772,-1.728638106
950,503521.5,507451.5,-3930,-0.774458249
951,505260,507451.5,-2191.5,-0.431863932
952,505602,507451.5,-1849.5,-0.364468329
953,503140.5,507451.5,-4311,-0.849539316
954,501244.5,507451.5,-6207,-1.223171081
955,511200,511200,0,0
956,508081.5,511200,-3118.5,-0.610035211
957,502125,511200,-9075,-1.775234742
958,499119,511200,-12081,-2.363262911
959,494610,511200,-16590,-3.245305164
960,490626,511200,-20574,-4.024647887
961,487522.5,511200,-23677.5,-4.631748826
962,484696.5,511200,-26503.5,-5.184565728
963,484629,511200,-26571,-5.197769953
964,481603.5,511200,-29596.5,-5.789612676
965,479563.5,511200,-31636.5,-6.188673709
966,496641,511200,-14559,-2.848004695
967,493569,511200,-17631,-3.448943662
968,492472.5,511200,-18727.5,-3.663438967
969,491353.5,511200,-19846.5,-3.882335681
970,502633.5,511200,-8566.5,-1.675762911
971,498562.5,511200,-12637.5,-2.472124413
972,498310.5,511200,-12889.5,-2.521420188
973,494548.5,511200,-16651.5,-3.257335681
974,499345.5,511200,-11854.5,-2.318955399
975,496864.5,511200,-14335.5,-2.804284038
976,503397,511200,-7803,-1.526408451
977,514741.5,514741.5,0,0
978,511426.5,514741.5,-3315,-0.644012577
979,518260.5,518260.5,0,0
980,514312.5,518260.5,-3948,-0.761779067
981,515568,518260.5,-2692.5,-0.519526377
982,513264,518260.5,-4996.5,-0.964090453
983,509004,518260.5,-9256.5,-1.786070904
984,506461.5,518260.5,-11799,-2.276654308
985,506709,518260.5,-11551.5,-2.228898401
986,506712,518260.5,-11548.5,-2.228319542
987,501745.5,518260.5,-16515,-3.1866214
988,520915.5,520915.5,0,0
989,530991,530991,0,0
990,529848,530991,-1143,-0.215257886
991,525850.5,530991,-5140.5,-0.968095504
992,537210,537210,0,0
993,532770,537210,-4440,-0.826492433
994,525888,537210,-11322,-2.107555704
995,536515.5,537210,-694.5,-0.129279053
996,534898.5,537210,-2311.5,-0.430278662
997,530331,537210,-6879,-1.280504831
998,537270,537270,0,0
999,543864,543864,0,0
1000,548680.5,548680.5,0,0
