Exit Time,Cumulative PnL INR
2023-07-04 14:05:00+05:30,2193022.5
2023-07-06 11:35:00+05:30,2196309.0
2023-07-07 09:15:00+05:30,2191470.0
2023-07-07 14:40:00+05:30,2193703.5
2023-07-07 15:15:00+05:30,2188143.0
2023-07-10 09:25:00+05:30,2181357.0
2023-07-10 11:35:00+05:30,2173854.0
2023-07-11 09:15:00+05:30,2166957.0
2023-07-11 13:50:00+05:30,2163010.5
2023-07-13 09:15:00+05:30,2163189.0
2023-07-13 13:55:00+05:30,2160898.5
2023-07-14 15:10:00+05:30,2160558.0
2023-07-18 11:35:00+05:30,2182609.5
2023-07-19 15:00:00+05:30,2180401.5
2023-07-21 12:25:00+05:30,2188674.0
2023-07-21 13:35:00+05:30,2180278.5
2023-07-21 14:55:00+05:30,2173177.5
2023-07-25 14:50:00+05:30,2175067.5
2023-07-27 11:00:00+05:30,2179015.5
2023-07-28 15:00:00+05:30,2197245.0
2023-08-01 12:25:00+05:30,2198602.5
2023-08-02 15:10:00+05:30,2212192.5
2023-08-03 10:10:00+05:30,2205183.0
2023-08-03 15:15:00+05:30,2211204.0
2023-08-04 13:25:00+05:30,2216544.0
2023-08-08 10:25:00+05:30,2210118.0
2023-08-09 09:15:00+05:30,2204872.5
2023-08-09 14:35:00+05:30,2208028.5
2023-08-10 09:15:00+05:30,2208105.0
2023-08-10 10:10:00+05:30,2201193.0
2023-08-10 10:25:00+05:30,2191350.0
2023-08-14 14:00:00+05:30,2207608.5
2023-08-16 09:15:00+05:30,2195932.5
2023-08-16 13:05:00+05:30,2189032.5
2023-08-17 12:05:00+05:30,2187682.5
2023-08-18 14:15:00+05:30,2186296.5
2023-08-21 15:15:00+05:30,2187928.5
2023-08-22 09:25:00+05:30,2184031.5
2023-08-22 15:20:00+05:30,2179402.5
2023-08-23 11:20:00+05:30,2173194.0
2023-08-24 11:05:00+05:30,2188321.5
2023-08-25 11:25:00+05:30,2199808.5
2023-08-25 15:25:00+05:30,2196307.5
2023-08-28 11:25:00+05:30,2189334.0
2023-08-29 14:20:00+05:30,2191617.0
2023-08-30 09:15:00+05:30,2185255.5
2023-08-30 12:45:00+05:30,2181478.5
2023-09-01 11:00:00+05:30,2196247.5
2023-09-05 11:20:00+05:30,2209366.5
2023-09-06 15:05:00+05:30,2211508.5
2023-09-07 11:35:00+05:30,2212123.5
2023-09-07 14:00:00+05:30,2207311.5
2023-09-12 09:50:00+05:30,2232736.5
2023-09-13 11:10:00+05:30,2228368.5
2023-09-14 10:15:00+05:30,2235745.5
2023-09-15 09:15:00+05:30,2228679.0
2023-09-15 12:30:00+05:30,2227213.5
2023-09-15 15:00:00+05:30,2220196.5
2023-09-18 12:50:00+05:30,2214358.5
2023-09-22 09:15:00+05:30,2249736.0
2023-09-22 09:55:00+05:30,2241210.0
2023-09-22 11:05:00+05:30,2230507.5
2023-09-22 13:30:00+05:30,2222184.0
2023-09-25 12:15:00+05:30,2223387.0
2023-09-25 14:05:00+05:30,2224359.0
2023-09-25 14:55:00+05:30,2219307.0
2023-09-26 12:45:00+05:30,2210884.5
2023-09-27 13:05:00+05:30,2213754.0
2023-09-28 11:10:00+05:30,2213005.5
2023-09-29 09:40:00+05:30,2211972.0
2023-09-29 15:00:00+05:30,2214985.5
2023-10-04 15:20:00+05:30,2232160.5
2023-10-05 15:00:00+05:30,2237751.0
2023-10-06 10:15:00+05:30,2234098.5
2023-10-06 11:20:00+05:30,2232207.0
2023-10-06 14:00:00+05:30,2226514.5
2023-10-09 09:15:00+05:30,2209681.5
2023-10-10 09:15:00+05:30,2203669.5
2023-10-11 12:55:00+05:30,2214495.0
2023-10-12 09:15:00+05:30,2208183.0
2023-10-13 09:15:00+05:30,2198043.0
2023-10-13 14:05:00+05:30,2193886.5
2023-10-13 14:45:00+05:30,2191035.0
2023-10-16 11:35:00+05:30,2192904.0
2023-10-17 13:35:00+05:30,2196237.0
2023-10-19 11:25:00+05:30,2209974.0
2023-10-19 14:40:00+05:30,2205510.0
2023-10-20 13:15:00+05:30,2204548.5
2023-10-23 10:20:00+05:30,2198565.0
2023-10-27 09:15:00+05:30,2232624.0
2023-10-30 09:15:00+05:30,2235747.0
2023-10-30 10:25:00+05:30,2233419.0
2023-10-31 10:40:00+05:30,2241526.5
2023-11-02 09:15:00+05:30,2236399.5
2023-11-02 11:40:00+05:30,2229391.5
2023-11-02 15:00:00+05:30,2224990.5
2023-11-07 09:15:00+05:30,2237704.5
2023-11-07 13:45:00+05:30,2237596.5
2023-11-08 11:10:00+05:30,2240623.5
2023-11-09 10:20:00+05:30,2234899.5
2023-11-09 15:05:00+05:30,2232552.0
2023-11-10 12:40:00+05:30,2230711.5
2023-11-13 09:25:00+05:30,2232340.5
2023-11-13 12:50:00+05:30,2229721.5
2023-11-16 15:00:00+05:30,2240524.5
2023-11-20 10:20:00+05:30,2257014.0
2023-11-21 13:05:00+05:30,2254483.5
2023-11-22 14:35:00+05:30,2260210.5
2023-11-24 13:10:00+05:30,2265454.5
2023-11-24 14:25:00+05:30,2260912.5
2023-11-28 14:00:00+05:30,2263017.0
2023-11-28 14:20:00+05:30,2260626.0
2023-11-30 09:50:00+05:30,2276050.5
2023-11-30 15:05:00+05:30,2273535.0
2023-12-01 14:40:00+05:30,2282119.5
2023-12-04 09:15:00+05:30,2257464.0
2023-12-05 11:30:00+05:30,2294154.0
2023-12-06 09:15:00+05:30,2283570.0
2023-12-06 09:30:00+05:30,2275317.0
2023-12-07 11:00:00+05:30,2277519.0
2023-12-08 13:00:00+05:30,2278867.5
2023-12-08 14:45:00+05:30,2271816.0
2023-12-11 15:20:00+05:30,2276017.5
2023-12-13 12:55:00+05:30,2280721.5
2023-12-14 14:50:00+05:30,2299521.0
2023-12-15 13:55:00+05:30,2293980.0
2023-12-18 09:15:00+05:30,2292439.5
2023-12-19 11:50:00+05:30,2290539.0
2023-12-19 14:55:00+05:30,2288025.0
2023-12-20 09:15:00+05:30,2280978.0
2023-12-20 13:15:00+05:30,2274052.5
2023-12-21 11:00:00+05:30,2285887.5
2023-12-22 12:30:00+05:30,2294640.0
2023-12-26 12:20:00+05:30,2293149.0
2023-12-27 12:40:00+05:30,2300308.5
2023-12-27 14:45:00+05:30,2296353.0
2023-12-29 09:15:00+05:30,2301225.0
